meta_id,post_id,meta_key,meta_value
176820,6005,itinerary_detail,"a:6:{s:6:""item-0"";a:8:{s:12:""heading-trek"";s:36:""Day 1: Arrival in Kathmandu (1,400m)"";s:11:""description"";s:114:""Arrive in Kathmandu and enjoy a warm Nepali welcome as you prepare for your Chisapani & Nagarkot hiking adventure."";s:23:""day_wise_gallery_images"";s:531:""<p>Welcome to Nepal! Upon arrival at Tribhuvan International Airport in Kathmandu, our representative will greet you and transfer you to your hotel. After check-in, take some time to relax and recover from your journey. Depending on your arrival time, you may explore the lively streets of Thamel, browse local shops, or enjoy a traditional Nepali meal. In the evening, you will meet your guide for a short trek briefing and final preparation for the upcoming hike. Enjoy your first night in the vibrant capital city of Nepal.</p>
"";s:24:""days_wise_starting_point"";s:42:""Tribhuvan International Airport, Kathmandu"";s:21:""day_wise_ending_point"";s:9:""Kathmandu"";s:17:""day_wise_distance"";s:21:""Airport transfer only"";s:12:""daywise_hour"";s:58:""Approximately 20–30 minutes drive (depending on traffic)"";s:14:""important_note"";s:214:""Please keep your passport, travel insurance documents, and other important travel papers easily accessible. Our airport representative will be waiting outside the arrival terminal with a name board for your pickup."";}s:6:""item-1"";a:8:{s:12:""heading-trek"";s:33:""Day 2: Kathmandu Sightseeing Tour"";s:11:""description"";s:133:""Explore the cultural and historical treasures of Kathmandu Valley, home to ancient temples, palaces, and UNESCO World Heritage Sites."";s:23:""day_wise_gallery_images"";s:637:""<p>After breakfast, embark on a guided sightseeing tour of Kathmandu's most iconic cultural landmarks. Visit the sacred Hindu temple of Pashupatinath, the magnificent Boudhanath Stupa, and the historic Kathmandu Durbar Square, known for its ancient palaces, temples, and traditional architecture. You will also explore the hilltop Swayambhunath Stupa (Monkey Temple), offering panoramic views of Kathmandu Valley. Throughout the day, gain insight into Nepal's rich history, spirituality, and vibrant local culture. Return to your hotel in the afternoon and spend the evening at leisure preparing for the hike beginning the next day.</p>
"";s:24:""days_wise_starting_point"";s:9:""Kathmandu"";s:21:""day_wise_ending_point"";s:9:""Kathmandu"";s:17:""day_wise_distance"";s:43:""Approximately 25–30 km by private vehicle"";s:12:""daywise_hour"";s:28:""5–6 hours sightseeing tour"";s:14:""important_note"";s:206:""Please wear comfortable walking shoes and modest clothing suitable for visiting religious sites. Carry water, sunscreen, a hat, and your camera to capture the beautiful heritage monuments and local culture."";}s:6:""item-2"";a:8:{s:12:""heading-trek"";s:48:""Day 3: Drive to Sundarijal and Hike to Chisapani"";s:11:""description"";s:138:""Begin your trek with a scenic hike through forests, waterfalls, and traditional villages to the beautiful hilltop settlement of Chisapani."";s:23:""day_wise_gallery_images"";s:657:""<p>After breakfast, drive from Kathmandu to Sundarijal, the starting point of your trek. Enter the lush forests of Shivapuri National Park and follow well-maintained trails through rhododendron and oak woodlands. Along the way, pass small Tamang and Brahmin villages, terraced farmland, and refreshing mountain streams. Enjoy peaceful natural surroundings and occasional views of the Kathmandu Valley below. After several hours of hiking, reach Chisapani, a charming hill village known for its spectacular mountain scenery and tranquil atmosphere. If weather permits, enjoy sunset views over the Himalayas before settling into your lodge for the night.</p>
"";s:24:""days_wise_starting_point"";s:9:""Kathmandu"";s:21:""day_wise_ending_point"";s:18:""Chisapani (2,215m)"";s:17:""day_wise_distance"";s:46:""Approximately 14 km (including drive and hike)"";s:12:""daywise_hour"";s:33:""1-hour drive and 4–5 hours hike"";s:14:""important_note"";s:177:""Carry sufficient drinking water, sunscreen, and a light jacket. Your trekking permits will be checked at the entrance of Shivapuri National Park, so keep them readily available."";}s:6:""item-3"";a:8:{s:12:""heading-trek"";s:47:""Day 4: Trek from Chisapani to Nagarkot (2,175m)"";s:11:""description"";s:125:""Enjoy a scenic ridge-top hike through traditional villages and countryside landscapes to the famous hill station of Nagarkot."";s:23:""day_wise_gallery_images"";s:630:""<p>Wake up to beautiful mountain views and enjoy breakfast before beginning your trek toward Nagarkot. The trail follows rolling hills, pine forests, terraced farmlands, and traditional villages, offering a wonderful glimpse into rural life in Nepal. Along the way, enjoy panoramic views of the Himalayas and the surrounding valleys. The walk is relatively gentle, making it one of the most enjoyable sections of the trek. By late afternoon, arrive in Nagarkot, Nepal’s most popular hill station, renowned for its breathtaking Himalayan vistas. Spend the evening relaxing and watching the sunset over the snow-capped peaks.</p>
"";s:24:""days_wise_starting_point"";s:18:""Chisapani (2,215m)"";s:21:""day_wise_ending_point"";s:17:""Nagarkot (2,175m)"";s:17:""day_wise_distance"";s:19:""Approximately 22 km"";s:12:""daywise_hour"";s:16:""6–7 hours hike"";s:14:""important_note"";s:215:""Today's trek is the longest of the journey. Carry enough water, snacks, sunscreen, and a camera to capture the stunning mountain and countryside views. An early start is recommended for the best trekking experience."";}s:6:""item-4"";a:8:{s:12:""heading-trek"";s:71:""Day 5: Sunrise at Nagarkot – Hike to Bhaktapur and Drive to Kathmandu"";s:11:""description"";s:139:""Witness a spectacular Himalayan sunrise, hike through scenic countryside to Bhaktapur, and explore one of Nepal’s finest medieval cities."";s:23:""day_wise_gallery_images"";s:626:""<p>Start your day early with a breathtaking sunrise over the Himalayan range from Nagarkot. After breakfast, begin a pleasant downhill hike through traditional villages, terraced fields, and rural landscapes toward Bhaktapur. Upon arrival, explore the ancient city of Bhaktapur, renowned for its beautifully preserved temples, courtyards, and traditional Newari culture. Wander through the historic Durbar Square, admire intricate wood carvings, and experience the charm of this living heritage city. Later, drive back to Kathmandu and enjoy a free evening for shopping, dining, or relaxing after your trekking adventure.</p>
"";s:24:""days_wise_starting_point"";s:17:""Nagarkot (2,175m)"";s:21:""day_wise_ending_point"";s:18:""Kathmandu (1,400m)"";s:17:""day_wise_distance"";s:40:""Approximately 12 km hike and 15 km drive"";s:12:""daywise_hour"";s:33:""3–4 hours hike and 1 hour drive"";s:14:""important_note"";s:153:""Wake up early for the best sunrise views. Keep your camera ready and carry some cash if you wish to purchase local handicrafts or souvenirs in Bhaktapur."";}s:6:""item-5"";a:8:{s:12:""heading-trek"";s:31:""Day 6: Departure from Kathmandu"";s:11:""description"";s:96:""Bid farewell to Nepal as your memorable Chisapani and Nagarkot hiking adventure comes to an end."";s:23:""day_wise_gallery_images"";s:423:""<p>After breakfast, enjoy some free time depending on your flight schedule. You may relax at the hotel, explore nearby markets, or do some last-minute souvenir shopping. At the designated time, our representative will transfer you to Tribhuvan International Airport for your onward journey. Depart with wonderful memories of Nepal's cultural heritage, scenic landscapes, friendly people, and beautiful Himalayan views.</p>
"";s:24:""days_wise_starting_point"";s:9:""Kathmandu"";s:21:""day_wise_ending_point"";s:31:""Tribhuvan International Airport"";s:17:""day_wise_distance"";s:23:""Approximately 6–10 km"";s:12:""daywise_hour"";s:44:""20–30 minutes drive (depending on traffic)"";s:14:""important_note"";s:268:""Please be ready at the hotel lobby at least 3 hours before your international flight departure. Ensure you have all your travel documents, passport, and personal belongings before checking out. Safe travels and we hope to welcome you back to Nepal again in the future!"";}}"
176821,6005,group_size_costing_setup,"a:3:{s:6:""item-0"";a:3:{s:13:""number_prefex"";s:8:""2 _4_pax"";s:15:""cost_per_person"";s:4:""$599"";s:10:""group_type"";s:12:""small _group"";}s:6:""item-1"";a:3:{s:13:""number_prefex"";s:7:""5_9_pax"";s:15:""cost_per_person"";s:4:""$499"";s:10:""group_type"";s:12:""small _group"";}s:6:""item-2"";a:3:{s:13:""number_prefex"";s:11:""10_plus_pax"";s:15:""cost_per_person"";s:4:""$399"";s:10:""group_type"";s:13:""super_Private"";}}"
181260,6005,_ftac_altitude_rows,a:0:{}
181261,6005,_ftb_duration,
181262,6005,_ftb_regular_price,
181263,6005,_ftb_costing_rows,"a:3:{i:0;a:3:{s:9:""pax_label"";s:7:""2-4 Pax"";s:10:""group_type"";s:11:""Small Group"";s:15:""cost_per_person"";s:3:""599"";}i:1;a:3:{s:9:""pax_label"";s:7:""5-9 Pax"";s:10:""group_type"";s:11:""Small Group"";s:15:""cost_per_person"";s:3:""499"";}i:2;a:3:{s:9:""pax_label"";s:7:""10+ Pax"";s:10:""group_type"";s:13:""Super Private"";s:15:""cost_per_person"";s:3:""399"";}}"
181264,6005,_ftb_fixed_departures,a:0:{}
185929,6005,_flyup_ctl_views,3
185930,6005,_flyup_ctl_views_daily,"a:3:{s:10:""2026-08-09"";i:1;s:10:""2026-08-23"";i:1;s:10:""2026-08-27"";i:1;}"
187681,6005,_flyup_seo_title,"Chisapani Nagarkot Hike - Everpeak Adventure"
187682,6005,_flyup_seo_description,"Experience the scenic Chisapani Nagarkot Hike. Enjoy stunning panoramic views of Mount Everest, peaceful rhododendron forests, and traditional villages."
187683,6005,_flyup_seo_focus_keyphrase,"Chisapani Nagarkot Hike"
187684,6005,_flyup_seo_setup_score,98
55245,6007,_edit_lock,1787417856:15
55246,6007,_edit_last,15
55249,6007,_thumbnail_id,6879
55250,6007,price,$499
55251,6007,duration,"6 Days"
55252,6007,destination,
55253,6007,transportation,
55254,6007,trekking-grade,"A (Easy) "
55255,6007,max-altitude,"1400 m"
55256,6007,trip-start-and-end,"Kathmandu to Dhampus Hike"
55257,6007,highlight,
55258,6007,package-include,
55259,6007,package-exclude,
55260,6007,route-map,
55261,6007,day-1,
55262,6007,description-1,
55263,6007,day-2,
55264,6007,description-2,
55265,6007,day-3,
55266,6007,description-3,
55267,6007,day-4,
55268,6007,description-4,
55269,6007,day-5,
55270,6007,description-5,
55271,6007,day-6,
55272,6007,description-6,
55273,6007,day-7,
55274,6007,description-7,
55275,6007,day-8,
55276,6007,description-8,
55277,6007,day-9,
55278,6007,description-9,
55279,6007,day-10,
55280,6007,description-10,
55281,6007,day-11,
55282,6007,description-11,
55283,6007,day-12,
55284,6007,description-12,
55285,6007,day-13,
55286,6007,description-13,
55287,6007,day-14,
55288,6007,description-14,
55289,6007,day-15,
55290,6007,description-15,
55291,6007,day-16,
55292,6007,description-16,
55293,6007,day-17,
55294,6007,description-17,
55295,6007,day-18,
55296,6007,description-18,
55297,6007,day-19,
55298,6007,description-19,
55299,6007,day-20,
55300,6007,description-20,
55301,6007,day-21,
55302,6007,description-21,
55303,6007,day-22,
55304,6007,description-22,
55305,6007,day-23,
55306,6007,description-23,
55307,6007,day-24,
55308,6007,description-24,
55309,6007,day-25,
55310,6007,description-25,
55311,6007,day-26,
55312,6007,description-26,
55313,6007,day-27,
55314,6007,description-27,
69878,6007,start_and_end_date,
69879,6007,rate,
98220,6007,accommodation,"Hotel/ Teahouse"
181237,6007,_ftac_altitude_rows,a:0:{}
181238,6007,_ftb_duration,
181239,6007,_ftb_regular_price,
181240,6007,_ftb_costing_rows,"a:1:{i:0;a:3:{s:9:""pax_label"";s:5:""1 Pax"";s:10:""group_type"";s:12:""Private Trip"";s:15:""cost_per_person"";s:3:""499"";}}"
181241,6007,_ftb_fixed_departures,a:0:{}
181242,6007,start_at,Pokhara
181243,6007,best-time,"March-Jun / Oct-Feb"
181244,6007,meals-bld,B.B
181245,6007,activity,hiking
181246,6007,end_at,Pokhara
181247,6007,package_include,
181248,6007,package_exclude,
181249,6007,equipment_amp_trekking_gears,
181250,6007,gallery,
181251,6007,r,
181252,6007,itinerary_detail,
181253,6007,group_size_costing_setup,"a:3:{s:6:""item-0"";a:3:{s:13:""number_prefex"";s:8:""2 _4_pax"";s:15:""cost_per_person"";s:4:""$299"";s:10:""group_type"";s:12:""small _group"";}s:6:""item-1"";a:3:{s:13:""number_prefex"";s:7:""5_9_pax"";s:15:""cost_per_person"";s:4:""$249"";s:10:""group_type"";s:10:""best_value"";}s:6:""item-2"";a:3:{s:13:""number_prefex"";s:11:""10_plus_pax"";s:15:""cost_per_person"";s:4:""$199"";s:10:""group_type"";s:13:""super_Private"";}}"
181472,6007,_flyup_ctl_views,5
181473,6007,_flyup_ctl_views_daily,"a:4:{s:10:""2026-07-07"";i:1;s:10:""2026-07-09"";i:1;s:10:""2026-08-05"";i:1;s:10:""2026-08-06"";i:2;}"
187693,6007,_flyup_seo_title,"Dhampus Hike - Everpeak Adventure"
187694,6007,_flyup_seo_description,"Experience the scenic Dhampus Hike near Pokhara. Enjoy spectacular panoramic mountain views, peaceful forest paths, and traditional Gurung culture."
187695,6007,_flyup_seo_focus_keyphrase,"Dhampus Hike"
187696,6007,_flyup_seo_setup_score,93
55318,6009,_edit_lock,1787417378:15
55319,6009,_edit_last,15
55323,6009,price,$599
55324,6009,duration,"4 Days"
55325,6009,destination,
55326,6009,transportation,"Private Vehicle"
55327,6009,trekking-grade,"Short &amp; Easy "
55328,6009,max-altitude,"2100 m"
55329,6009,trip-start-and-end,"Kathmandu - Dhulikhel"
55330,6009,highlight,"<ul>
<li data-section-id=""6gos8w"" data-start=""117"" data-end=""181"">🌅 Stunning Himalayan sunrise views from Nagarkot viewpoint</li>
<li data-section-id=""1es1bxn"" data-start=""182"" data-end=""254"">🥾 Scenic ridge trek through forests, hills, and terraced farmlands</li>
<li data-section-id=""uqyohm"" data-start=""255"" data-end=""335"">🏛️ Visit to the ancient UNESCO World Heritage Site – Changu Narayan Temple</li>
<li data-section-id=""1rvj59o"" data-start=""336"" data-end=""401"">🏞️ Peaceful hiking trails connecting Nagarkot and Dhulikhel</li>
<li data-section-id=""1krguv4"" data-start=""402"" data-end=""472"">🏡 Authentic experience of traditional Newari and Tamang villages</li>
<li data-section-id=""nsm8ko"" data-start=""473"" data-end=""541"">🕊️ Spiritual journey to the sacred Buddhist site of Namobuddha</li>
<li data-section-id=""1rzalmh"" data-start=""542"" data-end=""616"">🏯 Exploration of historic Bhaktapur Durbar Square and old city charm</li>
<li data-section-id=""1epoa4d"" data-start=""617"" data-end=""686"">🌿 Combination of nature, culture, and spirituality in one route</li>
<li data-section-id=""eedgaw"" data-start=""687"" data-end=""782"">📸 Panoramic views of Himalayan ranges including Langtang and Everest (weather permitting)</li>
<li data-section-id=""2wails"" data-start=""783"" data-end=""864"">🚶 Perfect short trek near Kathmandu ideal for beginners and culture lovers</li>
</ul>
"
55331,6009,package-include,
55332,6009,package-exclude,
55333,6009,route-map,
55334,6009,day-1,"Kathmandu - Dhulikhel"
55335,6009,description-1,
55336,6009,day-2,"Dhulikhel - Kathmandu via Bhaktapur"
55337,6009,description-2,
55338,6009,day-3,
55339,6009,description-3,
55340,6009,day-4,
55341,6009,description-4,
55342,6009,day-5,
55343,6009,description-5,
55344,6009,day-6,
55345,6009,description-6,
55346,6009,day-7,
55347,6009,description-7,
55348,6009,day-8,
55349,6009,description-8,
55350,6009,day-9,
55351,6009,description-9,
55352,6009,day-10,
55353,6009,description-10,
55354,6009,day-11,
55355,6009,description-11,
55356,6009,day-12,
55357,6009,description-12,
55358,6009,day-13,
55359,6009,description-13,
55360,6009,day-14,
55361,6009,description-14,
55362,6009,day-15,
55363,6009,description-15,
55364,6009,day-16,
55365,6009,description-16,
55366,6009,day-17,
55367,6009,description-17,
55368,6009,day-18,
55369,6009,description-18,
55370,6009,day-19,
55371,6009,description-19,
55372,6009,day-20,
55373,6009,description-20,
55374,6009,day-21,
55375,6009,description-21,
55376,6009,day-22,
55377,6009,description-22,
55378,6009,day-23,
55379,6009,description-23,
55380,6009,day-24,
55381,6009,description-24,
55382,6009,day-25,
55383,6009,description-25,
55384,6009,day-26,
55385,6009,description-26,
55386,6009,day-27,
55387,6009,description-27,
69894,6009,_thumbnail_id,14922
69895,6009,start_and_end_date,
69896,6009,rate,
98236,6009,accommodation,Hotel
176825,6009,start_at,Kathmandu
176826,6009,best-time,"March-Jun / Oct-Feb"
176827,6009,meals-bld,B.B
176828,6009,activity,hiking
176829,6009,end_at,Kathmandu
176830,6009,package_include,"<ul>
<li data-section-id=""g2zpp8"" data-start=""100"" data-end=""143"">🚖 Hotel pickup and drop from Kathmandu</li>
<li data-section-id=""p0m9a0"" data-start=""144"" data-end=""195"">🥾 Guided hiking tours throughout the itinerary</li>
<li data-section-id=""1ym7tvk"" data-start=""196"" data-end=""241"">🏛️ Entrance fee to Changu Narayan Temple</li>
<li data-section-id=""zsr3ik"" data-start=""242"" data-end=""321"">🏨 Accommodation in Nagarkot, Dhulikhel, and Namobuddha (standard category)</li>
<li data-section-id=""1xdkpid"" data-start=""322"" data-end=""361"">🍽️ Daily breakfast during the trip</li>
<li data-section-id=""10znzm5"" data-start=""362"" data-end=""415"">🧑‍🏫 Experienced English-speaking trekking guide</li>
<li data-section-id=""up6ya5"" data-start=""416"" data-end=""475"">🚗 All necessary ground transportation as per itinerary</li>
<li data-section-id=""1m3hd5j"" data-start=""476"" data-end=""541"">🕊️ Visit to Namobuddha Monastery and Bhaktapur Durbar Square</li>
<li data-section-id=""1rlpnwd"" data-start=""542"" data-end=""588"">🩺 Basic first aid support during the trek</li>
<li data-section-id=""1irfm7v"" data-start=""589"" data-end=""643"">📸 Assistance for photography spots and viewpoints</li>
</ul>
"
176831,6009,package_exclude,"<ul>
<li data-section-id=""9hfjak"" data-start=""677"" data-end=""717"">✈️ International or domestic airfare</li>
<li data-section-id=""10y9g1z"" data-start=""718"" data-end=""757"">🍛 Lunch and dinner during the trip</li>
<li data-section-id=""1uq8gen"" data-start=""758"" data-end=""817"">🛍️ Personal expenses (snacks, drinks, souvenirs, etc.)</li>
<li data-section-id=""1w5cpie"" data-start=""818"" data-end=""870"">🎟️ Monument entry fees (except where mentioned)</li>
<li data-section-id=""xya7yg"" data-start=""871"" data-end=""915"">🧳 Travel insurance (highly recommended)</li>
<li data-section-id=""1h8gi63"" data-start=""916"" data-end=""951"">👨‍💼 Tips for guide and driver</li>
<li data-section-id=""ut41zt"" data-start=""952"" data-end=""1018"">🏨 Extra night accommodation due to delays or personal reasons</li>
<li data-section-id=""1cycyjg"" data-start=""1019"" data-end=""1075"">🚑 Emergency evacuation or medical costs if required</li>
</ul>
"
176832,6009,equipment_amp_trekking_gears,"<h3 data-section-id=""sbghua"" data-start=""104"" data-end=""119"">👕 Clothing</h3>
<ul data-start=""120"" data-end=""384"">
<li data-section-id=""py0bsa"" data-start=""120"" data-end=""162"">🧥 Light windproof jacket / warm layer</li>
<li data-section-id=""jw23ky"" data-start=""163"" data-end=""213"">👕 Breathable t-shirts (quick dry recommended)</li>
<li data-section-id=""1l7rm2k"" data-start=""214"" data-end=""247"">👖 Comfortable trekking pants</li>
<li data-section-id=""htvcr4"" data-start=""248"" data-end=""295"">🧦 Extra pairs of socks (wool or quick dry)</li>
<li data-section-id=""1x4ywvu"" data-start=""296"" data-end=""333"">🧣 Buff / scarf for dust and wind</li>
<li data-section-id=""1hgitg2"" data-start=""334"" data-end=""384"">🧤 Light gloves (for winter or early mornings)</li>
</ul>
<hr data-start=""386"" data-end=""389"" />
<h3 data-section-id=""t3hd6f"" data-start=""391"" data-end=""406"">👟 Footwear</h3>
<ul data-start=""407"" data-end=""501"">
<li data-section-id=""i71o23"" data-start=""407"" data-end=""457"">🥾 Comfortable trekking shoes (well broken-in)</li>
<li data-section-id=""9c7tid"" data-start=""458"" data-end=""501"">🩴 Light sandals/slippers for hotel use</li>
</ul>
<hr data-start=""503"" data-end=""506"" />
<h3 data-section-id=""12pb6s7"" data-start=""508"" data-end=""534"">🎒 Backpack Essentials</h3>
<ul data-start=""535"" data-end=""735"">
<li data-section-id=""17xko94"" data-start=""535"" data-end=""569"">🎒 Small day backpack (20–30L)</li>
<li data-section-id=""ub1knx"" data-start=""570"" data-end=""607"">💧 Water bottle or hydration pack</li>
<li data-section-id=""wn4sz5"" data-start=""608"" data-end=""652"">🍫 Energy snacks (chocolate, nuts, bars)</li>
<li data-section-id=""1cs1wq"" data-start=""653"" data-end=""679"">🧴 Sunscreen (SPF 30+)</li>
<li data-section-id=""1u4ycuw"" data-start=""680"" data-end=""698"">🕶️ Sunglasses</li>
<li data-section-id=""k0c71y"" data-start=""699"" data-end=""735"">🧢 Cap or hat for sun protection</li>
</ul>
<hr data-start=""737"" data-end=""740"" />
<h3 data-section-id=""oaszyu"" data-start=""742"" data-end=""763"">🧰 Personal Items</h3>
<ul data-start=""764"" data-end=""971"">
<li data-section-id=""12oe9wz"" data-start=""764"" data-end=""789"">🪪 Passport / ID copy</li>
<li data-section-id=""1fx92ki"" data-start=""790"" data-end=""838"">💰 Cash (Nepali currency for small expenses)</li>
<li data-section-id=""1fun6jr"" data-start=""839"" data-end=""871"">📱 Mobile phone &amp; power bank</li>
<li data-section-id=""1eyditp"" data-start=""872"" data-end=""912"">📸 Camera (optional but recommended)</li>
<li data-section-id=""wld47"" data-start=""913"" data-end=""944"">🧻 Tissue paper / wet wipes</li>
<li data-section-id=""1uhqgqg"" data-start=""945"" data-end=""971"">🧴 Personal toiletries</li>
</ul>
<hr data-start=""973"" data-end=""976"" />
<h3 data-section-id=""c2yx67"" data-start=""978"" data-end=""1005"">🏔️ Trekking Essentials</h3>
<ul data-start=""1006"" data-end=""1143"">
<li data-section-id=""1xv9eq5"" data-start=""1006"" data-end=""1041"">🩹 Basic personal first aid kit</li>
<li data-section-id=""ea9uzb"" data-start=""1042"" data-end=""1078"">💊 Personal medications (if any)</li>
<li data-section-id=""1hs81or"" data-start=""1079"" data-end=""1109"">🔦 Small torch or headlamp</li>
<li data-section-id=""1nmrxl5"" data-start=""1110"" data-end=""1143"">🗺️ Offline map (recommended)</li>
</ul>
"
176833,6009,gallery,
176834,6009,r,
